team_id,team_key,team_name,created_at
79e63416-eb1c-4864-8471-d6a9747b6176,ACCEL,Accelerator Platform,2024-11-23T19:23:11.679956
546717cc-f5a8-4c27-9abc-8a8820f7fbb9,CORE,Core Services,2024-12-03T19:23:11.680007
86f31b19-7cd7-40d1-b031-0273cd4109a0,PAY,Payments & Billing,2024-12-13T19:23:11.680026
1af4780d-bd6b-4617-8e74-8accdee5faea,AUTH,Authentication & Identity,2024-12-23T19:23:11.680036
4226a61a-6a2f-412f-adef-e4a088a54e21,DATA,Data Engineering,2025-01-02T19:23:11.680045
90293151-f6f1-4afc-9120-171094fe00ae,ML,Machine Learning Platform,2025-01-12T19:23:11.680053
86d5fde5-b38d-4c5b-a6c5-9bf4717161f5,AI,AI Enablement,2025-01-22T19:23:11.680064
d7e966c0-538c-419a-8744-55fd5feea121,OPS,Operations & Reliability,2025-02-01T19:23:11.680076
35ed53ca-c548-43b8-a782-af5c0a0997ed,QA,Quality Engineering,2025-02-11T19:23:11.680085
5a12d069-8aa5-436c-b266-d364276c449a,UX,UX & Design Systems,2025-02-21T19:23:11.680093
933533cc-baa3-470b-abb3-b75096a9bb13,SEC,Security & Compliance,2025-03-03T19:23:11.680109
318beaf9-d15f-4f84-ac27-dd5921a71511,MOB,Mobile Applications,2025-03-13T19:23:11.680123
b30c5a1e-8330-4735-a3d7-c3410f3ca99b,WEB,Web Platform,2025-03-23T19:23:11.680137
8b1d55f6-adba-455e-aa45-550124500e18,INT,Integrations,2025-04-02T19:23:11.680152
4e1c9021-15f1-4a02-915e-da7bbc3280b6,OBS,Observability & Monitoring,2025-04-12T19:23:11.680163
d9ce1a61-299b-477c-ad7e-7dba3afea44e,REL,Release Engineering,2025-04-22T19:23:11.680171
4d8fd0c8-f019-423d-8766-bb786166675a,SUP,Customer Support Tools,2025-05-02T19:23:11.680190
ffaade6c-98e2-47b9-9b30-de496a1006cb,ANL,Analytics & Insights,2025-05-12T19:23:11.680198
1e385107-39a0-4585-831d-2e95970590be,INF,Infrastructure,2025-05-22T19:23:11.680206
4bfdc391-9a8b-4aab-baca-9d0091f02b45,DOC,Developer Experience & Docs,2025-06-01T19:23:11.680214
3516d754-0922-468d-a18e-bec14b831875,API,API Platform,2025-06-11T19:23:11.680222
31f3d5ca-0239-4fc3-97cd-260db942f87e,GROW,Growth Engineering,2025-06-21T19:23:11.680229
39d9f497-5268-4264-9a05-c511203c28e9,EXP,Experimentation Platform,2025-07-01T19:23:11.680237
0f29e8b9-2559-4371-ba66-a030e5c808fb,INTL,Internationalization,2025-07-11T19:23:11.680245
8553113e-cafa-4f21-828c-419e03c6600b,LEG,Legacy Modernization,2025-07-21T19:23:11.680254
